"","Are.you.on.the.waiting.list.","Program","Programming.and.Analytical.Experiences..R..data.manipulation.and.modeling.","What.is.your.preferred.gender.pronoun.","What.code.text.editor.do.you.use.most.","Programming.and.Analytical.Experiences..R..graphic.basics..base..lattice..grid.etc....","Programming.and.Analytical.Experiences..R..advanced..multivariate.data.analysis..e.g..spatiotemporal.data..visualization.and.modeling..","Programming.and.Analytical.Experiences..Reproducible.documentation.with.R..e.g..R.Markdown..","Programming.and.Analytical.Experiences..Matlab..data.manipulation..analysis..visualization.and.modeling.","Programming.and.Analytical.Experiences..Github.","R","Excel","SQL","RStudio","ggplot2","Python","Stata","dropbox","google drive (formerly docs)","regular expressions (grep)","Github","shell (terminal / command line)","LaTeX","Sweave/knitr","XML","Web: html css js","C/C++","Matlab","SPSS","lattice","Number.Tools"
"57","Yes","Statistics (master)","A little","he/him","RStudio","A little","A little","A little","A little","A little",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"58","No","IDSE (master)","Confident","he/him","notepad++","A little","A little","Confident","Confident","A little",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7
"59","Yes","Ph.D.","Confident","he/him","RStudio","Confident","A little","None","A little","None",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5
"60","No","IDSE (master)","Confident","she/her","RStudio","A little","A little","A little","None","None",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
"61","No","Data Science Certification","Confident","he/him","RStudio","A little","A little","Confident","A little","A little",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8
"62","Yes","Statistics (master)","Expert","he/him","RStudio","Confident","Confident","Confident","Confident","A little",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,10
"63","No","IDSE (master)","Confident","he/him","vi/vim","A little","A little","None","None","Confident",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,12
"64","No","Data Science Certification","Expert","she/her","notepad++","Confident","A little","A little","A little","A little",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,14
"65","No","IDSE (master)","Confident","he/him","vi/vim","A little","A little","None","None","Confident",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,12
"66","No","Statistics (master)","A little","he/him","vi/vim","None","None","None","None","A little",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
